tax_rank	tax_id	tax_name	tax_ids_descendant
genus	629	Yersinia	629,630,631,632,633,634,635,636,1045004
genus	1763	Mycobacterium	1763,1764,1765,1766,1773,1781,36814,39688
genus	157	Treponema	157,158,159,160,161,162,163,164,29459
genus	1279	Staphylococcus	1279,1280,1281,1282,1283,1284,1285,1286
genus	1301	Streptococcus	1301,1302,1303,1304,1305,1306,1307,1308,1314
genus	1386	Bacillus	1386,1387,1388,1389,1390,1391,1392,1395
genus	234	Brucella	234,29459,29460,29461,29462,29463,29464
genus	590	Salmonella	590,591,28901,59201
genus	138	Borrelia	138,139,140,141,142,143,144,145
genus	662	Vibrio	662,663,664,665,666,667,668,669
