tax_rank	tax_id	tax_name	tax_ids_descendant
species	632	Yersinia pestis	632
species	632	Yersinia pestis	214092
species	632	Yersinia pestis	349746
species	1773	Mycobacterium tuberculosis	1773
species	1773	Mycobacterium tuberculosis	83332
species	1773	Mycobacterium tuberculosis	186490
species	160	Treponema pallidum	160
species	160	Treponema pallidum	243276
species	160	Treponema pallidum	1155773
species	1280	Staphylococcus aureus	1280
species	1280	Staphylococcus aureus	93061
species	1280	Staphylococcus aureus	367830
species	1314	Streptococcus pyogenes	1314
species	1314	Streptococcus pyogenes	160490
species	1314	Streptococcus pyogenes	1041826
species	1392	Bacillus anthracis	1392
species	1392	Bacillus anthracis	198094
species	1392	Bacillus anthracis	260799
species	29459	Brucella melitensis	29459
species	29459	Brucella melitensis	224914
species	29459	Brucella melitensis	546272
species	28901	Salmonella enterica	28901
species	28901	Salmonella enterica	99287
species	28901	Salmonella enterica	149539
species	139	Borrelia burgdorferi	139
species	139	Borrelia burgdorferi	224326
species	139	Borrelia burgdorferi	1280917
species	666	Vibrio cholerae	666
species	666	Vibrio cholerae	243277
species	666	Vibrio cholerae	345073
species	1502	Clostridium perfringens	1502
species	1502	Clostridium perfringens	195102
species	1502	Clostridium perfringens	441771
species	1639	Listeria monocytogenes	1639
species	1639	Listeria monocytogenes	169963
species	1639	Listeria monocytogenes	1538558
species	263	Francisella tularensis	263
species	263	Francisella tularensis	177416
species	263	Francisella tularensis	393011
species	487	Neisseria meningitidis	487
species	487	Neisseria meningitidis	122586
species	487	Neisseria meningitidis	1093533
